,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4844071.160079373,718249.7099999998,2159848.95,0.0,0.0,0.0,4933947.6400000295,2159848.95,2159848.95,4833947.650000029,2159848.95,2159848.95,2159848.95,0.0,0.0,176764438.65037546,0.0,1644499.3099999996,2159848.95
1,14843710.189091118,514249.7499999999,11907300.28922983,4061847.6600000467,1542449.2799999996,1542449.2799999996,14716628.500000227,11757586.53000022,11895647.171977863,14903250.326993108,12117586.530000221,12197371.665982047,11747586.540000217,0.0,0.0,32210745.914919723,0.0,1233499.4699999997,11977789.276764508
2,65159951.194676615,1334499.4399999997,69160471.74932751,16815133.59000009,30749687.45125474,31265460.15876642,65541862.008121274,72162177.81000039,77655077.63999882,65977814.21399495,87448290.70277831,86753146.21485846,62877586.78897369,0.0,102919.94,37779397.08887172,102919.94000000002,3084798.5700000096,64777846.55113196
3,26831716.6899992,514249.7499999999,43152284.911632136,12574528.450000137,7590358.012067076,7507846.370000057,26701808.80415528,43249662.588174365,45159618.94999986,26760141.269895162,46797446.90935046,47136047.96979661,48058302.25899675,1230199.5099999998,0.0,11827744.250000104,13658955.488458404,1130749.5099999998,48751268.58000007
4,8181791.972947482,514249.7499999999,1234199.3999999997,4512098.240000022,0.0,0.0,8216846.320000062,1234199.3999999997,1234199.3999999997,8016846.340000059,1234199.3999999997,1234199.3999999997,1234199.3999999997,1230199.5099999998,0.0,9579848.120358052,0.0,1027999.5499999997,1234199.3999999997
5,41945273.204260476,1842749.2199999995,28950421.814896386,11379019.538706396,16113761.006860958,16101795.762673765,42155272.20076406,28747217.909998845,28738120.68758975,42136052.21999974,28726480.649998657,29356975.850284167,29757920.536618773,1850699.1599999995,4929897.960000026,27079812.019265816,8995649.048160162,13636745.689071806,29185616.56759546
6,2159848.95,514249.7499999999,1028499.4999999997,0.0,0.0,0.0,2159848.95,1028499.4999999997,1028499.4999999997,2159848.95,1028499.4999999997,1028499.4999999997,1028499.4999999997,1027799.5399999997,2775048.8400000064,5142497.500000032,2762299.180000006,4520998.130000023,1028499.4999999997
7,11684100.540000126,514249.7499999999,16164073.753040994,5301520.759071942,3805448.150000018,3805448.150000018,11584100.550000126,15862909.140000172,16264659.060000176,11784100.530000126,16152976.726271193,15964575.852087403,16128185.109938025,1022249.6199999998,0.0,4319697.900000023,8437867.584745726,822499.6299999998,16162909.070000175
8,17518558.630340796,1027649.5299999997,11436690.270000134,5574279.010000065,10360047.620000076,10360047.620000076,17577091.780000098,11391256.54251064,11346203.450743115,17477841.7700001,11535190.260000134,11537190.250000136,11736667.848370954,0.0,101999.98000000001,7610896.3000000585,101999.98000000001,1850999.1299999994,11336690.280000133
9,6474339.680000063,513399.7799999999,3328456.9100000183,3850694.8000000296,1028499.4999999997,1028499.4999999997,6474339.680000063,3338456.9000000185,3337110.3863296,6474339.680000063,3328456.9100000183,3328456.9100000183,3328456.9100000183,821749.6599999998,0.0,2982648.550000008,0.0,719749.6699999998,3328456.9100000183
10,1234199.3999999997,512549.80999999994,822799.5999999997,0.0,0.0,0.0,1234199.3999999997,822799.5999999997,822799.5999999997,1234199.3999999997,822799.5999999997,822799.5999999997,822799.5999999997,0.0,0.0,2776948.650000006,0.0,719749.6699999998,822799.5999999997
11,20362026.239999853,1541049.3099999996,16069031.370000202,7456676.180000097,9905023.490000077,9905023.490000077,20362026.239999853,16070031.350000203,16169531.350000203,20362026.239999853,16069531.360000202,16078610.938259153,16071031.360000202,1746549.2299999995,2363448.9900000016,8125146.050000065,8909114.370104928,6677097.100000046,16062923.444536718
12,1028499.4999999997,511699.83999999997,719949.6499999998,0.0,0.0,0.0,1028499.4999999997,719949.6499999998,719949.6499999998,1028499.4999999997,719949.6499999998,719949.6499999998,719949.6499999998,0.0,0.0,2341049.0945367417,0.0,514249.7499999999,719949.6499999998
