branch number, first bus number, second bus number
1660,7486,7519
1661,7487,7492
1662,7488,7492
1663,7492,7513
1664,7492,7534
1665,7492,7536
1666,7492,9969
1667,7495,7496
1668,7496,7514
1669,7505,7526
1670,7508,7510
1671,7508,7513
1672,7513,7514
1673,7514,7515
1674,7514,77390
1675,7515,7534
1676,7519,7523
1677,7519,77390
1678,7523,7531
1679,76475,7525
1680,76475,7526
1681,7527,7528
1682,7527,7545
1683,7528,7531
1684,7534,7542
1685,7534,7543
1686,76475,7536
1687,7541,77626
1688,77390,7542
1689,7543,7545
1690,77390,7543
1691,77390,7548
1692,7549,7550
1693,7553,7577
1694,77394,7553
1695,7557,7561
1696,7557,7565
1697,76464,7557
1698,7561,7564
1699,7563,7574
1700,76464,7563
1701,7564,7565
1702,7565,7567
1703,7566,7567
1704,7566,77411
1705,7567,8430
1706,7568,7609
1707,7569,7574
1708,77401,7569
1709,7570,7571
1710,7570,7579
1711,76464,7570
1712,7577,7578
1713,7577,7582
1714,7578,7581
1715,7579,7581
1716,7582,7585
1717,7583,7584
1718,7584,7588
1719,7603,7604
1720,7604,7605
1721,7604,8864
1722,7605,7606
1723,7606,7607
1724,7606,7612
1725,7606,8415
1726,76464,7606
1727,77401,7607
1728,7607,77410
1729,7608,7610
1730,7608,7611
1731,7609,7610
1732,7611,7613
1733,7612,77412
1734,7613,8410
1735,76526,7614
1736,7627,7633
1737,76560,7635
1738,76563,7635
1739,7645,7646
1740,7652,7653
1741,7653,7662
1742,7657,7659
1743,7657,7662
1744,7659,7661
1745,7661,7670
1746,7661,7672
1747,7672,7681
1748,7681,7687
1749,7681,77426
1750,7697,7707
1751,7697,77426
1752,7706,7707
1753,7706,7722
1754,7706,77426
1755,7722,7738
1756,77426,7722
1757,77426,7733
1758,7736,7738
1759,76479,7736
1760,7743,7744
1761,7744,7746
1762,7748,7752
1763,7748,8270
1764,7751,7752
1765,7751,7754
1766,7754,7755
1767,7758,7771
1768,7758,8508
1769,7760,7764
1770,7763,7764
1771,7769,7771
1772,7789,7790
1773,76473,7790
1774,7794,7795
1775,7794,77445
1776,7795,7806
1777,7796,7901
1778,76472,7796
1779,76472,7796
1780,7799,7800
1781,7799,7801
1782,7800,7803
1783,7801,7806
1784,7803,7822
1785,7806,7808
1786,77445,7806
1787,7835,7836
1788,7835,7857
1789,77450,7835
1790,7836,77465
1791,7838,7840
1792,7838,7845
1793,77450,7838
1794,7840,7842
1795,7842,7849
1796,7845,7910
1797,7849,7850
1798,7857,7858
1799,7858,7860
1800,7858,7861
1801,7860,7865
1802,7863,7865
1803,7889,7890
1804,7889,7905
1805,7890,7981
1806,7899,77465
1807,95340,7899
1808,7901,8033
1809,76528,7905
1810,77465,7905
1811,7908,7910
1812,7908,7914
1813,76514,7912
1814,7914,7929
1815,77470,7914
1816,7921,7922
1817,7922,7925
1818,7925,7927
1819,7927,7930
1820,7929,7930
1821,7944,7945
1822,7976,7977
1823,7977,8049
1824,7979,7980
1825,76533,7979
1826,7981,7982
1827,7982,7985
1828,7985,7997
1829,7997,8000
1830,7997,8020
1831,76533,8000
1832,8049,8051
1833,8051,8054
1834,8054,8079
1835,8111,8114
1836,8117,8120
1837,76454,8120
1838,8121,8122
1839,77498,8122
1840,8129,8130
1841,8130,8131
1842,8131,8132
1843,8132,8133
1844,8135,8136
1845,8135,8162
1846,8157,8158
1847,8157,8162
1848,8157,8163
1849,8158,8164
1850,8163,8164
1851,8164,8165
1852,8167,8168
1853,8168,8169
1854,8169,8210
1855,8174,8211
1856,8174,8212
1857,8177,8178
1858,8177,8210
1859,8178,8181
1860,8178,8190
1861,76478,8178
1862,8206,8209
1863,8208,8209
1864,77498,8208
1865,8209,8211
1866,8216,8217
1867,8216,8221
1868,8216,77523
1869,8217,77523
1870,8221,77523
1871,77523,8243
1872,8255,8259
1873,8257,8258
1874,8257,8261
1875,8258,8259
1876,8261,8267
1877,8264,8265
1878,8265,8266
1879,8266,8271
1880,8267,8268
1881,8268,8269
1882,8268,8271
1883,77196,8268
1884,8269,8270
1885,8275,8278
1886,8275,77555
1887,77535,8277
1888,8278,77548
1889,8279,8280
1890,77535,8279
1891,77537,8279
1892,8279,77540
1893,8280,8282
1894,77537,8280
1895,8281,8282
1896,8281,8289
1897,8282,8287
1898,8282,8303
1899,8284,8285
1900,8284,8750
1901,8284,77542
1902,8285,77540
1903,8286,8288
1904,8286,8305
1905,77540,8287
1906,8288,8410
1907,8289,8291
1908,77537,8291
1909,77535,8294
1910,77535,8295
1911,77540,8303
1912,8304,8318
1913,77542,8304
1914,8305,8306
1915,8305,8324
1916,8306,8773
1917,8308,8312
1918,8308,8415
1919,8310,8312
1920,8310,8314
1921,8310,8415
1922,77542,8310
1923,8314,8315
1924,8314,8350
1925,8315,8344
1926,8318,8323
1927,8321,8322
1928,8321,8333
1929,8322,8323
1930,8322,8333
1931,8327,8328
1932,8328,8333
1933,8331,8338
1934,8331,8339
1935,8331,8352
1936,77556,8331
1937,8336,8338
1938,8336,8343
1939,8339,8340
1940,8340,8342
1941,8342,8345
1942,8343,8344
1943,8344,8345
1944,77537,8344
1945,77540,8344
1946,77556,8344
1947,8348,8349
1948,8348,8409
1949,8349,8350
1950,8350,8351
1951,8351,8366
1952,8352,8366
1953,8358,8359
1954,8358,8361
1955,8359,8372
1956,8370,8371
1957,8370,8406
1958,8371,8372
1959,8374,8389
1960,8380,8381
1961,8381,8382
1962,8382,8386
1963,8386,8493
1964,8387,8389
1965,8387,8405
1966,8391,8392
1967,8391,8493
1968,8392,8393
1969,8392,8395
1970,8393,8400
1971,8394,8396
1972,8394,8400
1973,8395,8438
1974,8396,8421
1975,8398,8399
1976,8398,8402
1977,8398,8419
1978,8398,8422
1979,8399,8400
1980,8400,8404
1981,8402,8403
1982,8403,8406
1983,8404,8405
1984,8404,8489
1985,8408,8416
1986,8408,8419
1987,8409,8416
1988,77542,8411
1989,77583,8411
1990,8412,8413
1991,8412,8427
1992,77412,8412
1993,8413,8415
1994,8416,8417
1995,8417,8418
1996,8418,8422
1997,8420,8421
1998,8420,8423
1999,8422,77590
2000,8423,8489
2001,8424,8427
2002,8424,77593
2003,8426,8428
2004,77541,8426
2005,8429,8430
2006,77411,8429
2007,77593,8429
2008,8432,8434
2009,8432,8453
2010,8432,8454
2011,8433,8434
2012,8433,8438
2013,8433,8489
2014,8434,8436
2015,8436,8437
2016,8437,8439
2017,76464,8437
2018,8439,8450
2019,8443,8445
2020,8443,8488
2021,8445,8491
2022,8447,8449
2023,8447,8464
2024,8447,8491
2025,8449,8450
2026,8453,8456
2027,8454,8455
2028,8455,8456
2029,8455,8457
2030,8455,8459
2031,8457,8458
2032,8458,8460
2033,8459,8462
2034,8460,8477
2035,8462,8469
2036,8462,8470
2037,8463,8470
2038,76455,8463
2039,8464,8468
2040,8464,8480
2041,76455,8464
2042,76455,8464
2043,8467,8468
2044,8467,8474
2045,76453,8469
2046,76464,8469
2047,8477,8480
2048,77401,8489
2049,77590,8489
2050,8506,8508
2051,77537,8767
2052,76463,8839
2053,77094,9599
2054,77390,9829
2055,75580,76473
2056,76428,76509
2057,76453,76455
2058,76453,76457
2059,76453,76467
2060,76453,76473
2061,76453,76475
2062,76453,76476
2063,76453,77394
2064,76454,76463
2065,76454,77395
2066,76457,77224
2067,76458,77200
2068,76462,77161
2069,76463,77395
2070,76463,77541
2071,76466,76517
2072,76470,76487
2073,76483,76491
2074,76487,77359
2075,76487,77523
2076,76493,77197
2077,76497,77224
2078,76517,77395
2079,76540,76702
2080,76540,76702
2081,76540,76702
2082,76552,77179
2083,76565,76779
2084,76654,76655
2085,76702,77161
2086,77033,77037
2087,77098,77635
2088,77196,77197
2089,77233,77236
2090,77390,77640
2091,77540,77542
2092,77541,77548
2093,3502,76453
2094,3503,76454
2095,3504,76456
2096,3505,76457
2097,3506,76458
2098,3507,76460
2099,3508,76462
2100,3509,76463
2101,3510,76466
2102,3512,76470
2103,3513,76472
2104,3514,76475
2105,3515,76476
2106,3516,76478
2107,3517,76479
2108,3520,76483
2109,76484,3520
2110,3521,76485
2111,3522,76487
2112,3523,76488
2113,3524,76490
2114,3525,76491
2115,76492,3525
2116,3526,76493
2117,3528,76496
2118,76497,3528
2119,3542,76509
2120,3546,76514
2121,3547,76517
2122,3557,76526
2123,3558,76528
2124,3561,76530
2125,3564,76533
2126,3571,76540
2127,3574,76542
2128,3593,76552
2129,3627,76565
2130,3722,76582
2131,4050,76654
2132,4051,76655
2133,4207,76684
2134,4274,76702
2135,76703,4274
2136,4497,76735
2137,4727,76779
2138,5105,76862
2139,5646,76951
2140,5808,76980
2141,6063,77029
2142,6067,77032
2143,6077,77037
2144,6091,77042
2145,6132,77053
2146,6134,77056
2147,6251,77094
2148,6264,77098
2149,6376,77121
2150,6525,77157
2151,6536,77161
2152,6621,77179
2153,6690,77196
2154,6694,77197
2155,6698,77200
2156,6806,77224
2157,6842,77231
2158,6845,77233
2159,6860,77236
2160,6918,77254
2161,7240,77335
2162,7413,77359
2163,7541,77390
2164,7549,77394
2165,7550,77395
2166,7568,77401
2167,7608,77410
2168,7609,77411
2169,7613,77412
2170,7711,77426
2171,7796,77445
2172,7829,77450
2173,7901,77465
2174,7912,77470
2175,8120,77498
2176,8218,77523
2177,8275,77535
2178,8278,77537
2179,8286,77540
2180,8288,77541
2181,77542,8288
2182,8306,77548
2183,8324,77555
2184,8410,77583
2185,8426,77590
2186,8428,77593
2187,76454,76455
2188,76463,76464
2189,76466,76467
2190,76472,76473
2191,76483,76484
2192,76491,76492
2193,76496,76497
2194,76514,76515
2195,76517,76518
2196,76542,76543
2197,76702,76703
2198,77032,77033
2199,77053,77054
2200,77094,77095
2201,77161,77162
2202,77541,77542
2203,77555,77556
